"SERIES","Series","TIME","Time period","Value","Flag Codes","Flags"
"BEL-EXP-VOL-TOTAL","EXP-Total","2013-04","Apr-2013",115.447344284166,,
"BEL-EXP-VOL-TOTAL","EXP-Total","2013-05","May-2013",115.797548569999,,
"BEL-EXP-VOL-TOTAL","EXP-Total","2013-06","Jun-2013",110.944717752022,,
"BEL-EXP-VOL-TOTAL","EXP-Total","2013-Q3","Q3-2013",108.953556241141,,
"BEL-EXP-VOL-TOTAL","EXP-Total","2013-07","Jul-2013",117.118319019428,,
"BEL-EXP-VOL-TOTAL","EXP-Total","2013-08","Aug-2013",95.8058867672809,,
"BEL-EXP-VOL-TOTAL","EXP-Total","2013-09","Sep-2013",113.936462936713,,
"BEL-EXP-VOL-TOTAL","EXP-Total","2013-Q4","Q4-2013",112.839156174435,,
"BEL-EXP-VOL-TOTAL","EXP-Total","2013-10","Oct-2013",121.931126490453,,
"BEL-EXP-VOL-TOTAL","EXP-Total","2013-11","Nov-2013",111.595097139998,,
"BEL-EXP-VOL-TOTAL","EXP-Total","2013-12","Dec-2013",104.991244892854,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1993","1993",77.8260587586744,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1993-Q1","Q1-1993",77.5666385628121,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1993-01","Jan-1993",77.670406641157,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1993-02","Feb-1993",77.8260587586744,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1993-03","Mar-1993",77.203450288605,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1993-Q2","Q2-1993",76.7883779752254,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1993-04","Apr-1993",77.1256242298463,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1993-05","May-1993",76.1917115247422,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1993-06","Jun-1993",77.0477981710876,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1993-Q3","Q3-1993",78.137362993709,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1993-07","Jul-1993",77.903884817433,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1993-08","Aug-1993",77.903884817433,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1993-09","Sep-1993",78.6043193462611,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1993-Q4","Q4-1993",78.8118555029509,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1993-10","Oct-1993",78.1373629937091,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1993-11","Nov-1993",79.3047538750892,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1993-12","Dec-1993",78.9934496400545,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1994","1994",79.291782865296,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1994-Q1","Q1-1994",79.4863480121927,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1994-01","Jan-1994",79.3047538750892,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1994-02","Feb-1994",79.8495362863999,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1994-03","Mar-1994",79.3047538750892,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1994-Q2","Q2-1994",79.6160581101239,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1994-04","Apr-1994",79.4604059926065,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1994-05","May-1994",79.6938841688825,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1994-06","Jun-1994",79.6938841688825,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1994-Q3","Q3-1994",78.8118555029509,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1994-07","Jul-1994",79.3047538750892,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1994-08","Aug-1994",79.3047538750892,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1994-09","Sep-1994",77.8260587586744,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1994-Q4","Q4-1994",79.2528698359167,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1994-10","Oct-1994",79.1491017575718,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1994-11","Nov-1994",78.5264932875024,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1994-12","Dec-1994",80.0830144626759,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1995","1995",81.2869785503575,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1995-Q1","Q1-1995",81.3486441892635,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1995-01","Jan-1995",81.2586456892385,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1995-02","Feb-1995",81.3686438559357,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1995-03","Mar-1995",81.4186430226163,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1995-Q2","Q2-1995",80.9686505224913,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1995-04","Apr-1995",80.5486575223746,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1995-05","May-1995",80.4986583556941,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1995-06","Jun-1995",81.8586356894052,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1995-Q3","Q3-1995",81.3186446892552,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1995-07","Jul-1995",80.6886551890802,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1995-08","Aug-1995",80.9886501891635,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1995-09","Sep-1995",82.2786286895218,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1995-Q4","Q4-1995",81.51197480042,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1995-10","Oct-1995",81.2386460225663,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1995-11","Nov-1995",80.4986583556941,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1995-12","Dec-1995",82.7986200229996,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1996","1996",84.0477658705688,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1996-Q1","Q1-1996",84.2385960233996,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1996-01","Jan-1996",84.278595356744,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1996-02","Feb-1996",84.278595356744,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1996-03","Mar-1996",84.1585973567107,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1996-Q2","Q2-1996",83.2086131897802,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1996-04","Apr-1996",83.8986016899718,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1996-05","May-1996",82.4986250229163,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1996-06","Jun-1996",83.2286128564524,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1996-Q3","Q3-1996",83.5719404676589,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1996-07","Jul-1996",82.6386226896218,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1996-08","Aug-1996",82.7186213563107,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1996-09","Sep-1996",85.358577357044,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1996-Q4","Q4-1996",85.1719138014366,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1996-10","Oct-1996",85.1985800236663,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1996-11","Nov-1996",84.548590856819,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1996-12","Dec-1996",85.7685705238246,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1997","1997",89.2468458859019,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1997-Q1","Q1-1997",88.0885318578024,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1997-01","Jan-1997",86.2585623572941,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1997-02","Feb-1997",88.4085265245579,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1997-03","Mar-1997",89.5985066915551,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1997-Q2","Q2-1997",88.4985250245829,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1997-04","Apr-1997",88.6585223579607,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1997-05","May-1997",88.2185296911718,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1997-06","Jun-1997",88.6185230246163,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1997-Q3","Q3-1997",90.7051549140848,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1997-07","Jul-1997",89.6985050249163,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1997-08","Aug-1997",91.4484758587357,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1997-09","Sep-1997",90.9684838586024,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1997-Q4","Q4-1997",89.6951717471376,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1997-10","Oct-1997",89.9185013583107,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1997-11","Nov-1997",89.6085065248913,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1997-12","Dec-1997",89.5585073582107,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1998","1998",87.7127047882535,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1998-Q1","Q1-1998",89.6085065248913,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1998-01","Jan-1998",89.6885051915801,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1998-02","Feb-1998",89.7085048582524,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1998-03","Mar-1998",89.4285095248413,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1998-Q2","Q2-1998",88.441859302345,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1998-04","Apr-1998",88.8285195246746,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1998-05","May-1998",87.4485425242913,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1998-06","Jun-1998",89.048515858069,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1998-Q3","Q3-1998",87.2118798020033,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1998-07","Jul-1998",87.0785486908551,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1998-08","Aug-1998",87.2085465242246,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1998-09","Sep-1998",87.3485441909301,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1998-Q4","Q4-1998",85.5885735237746,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1998-10","Oct-1998",86.0685655239079,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1998-11","Nov-1998",85.6685721904635,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1998-12","Dec-1998",85.0285828569524,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1999","1999",88.806853219113,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1999-Q1","Q1-1999",86.0318994683422,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1999-01","Jan-1999",85.628572857119,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1999-02","Feb-1999",84.9285845235913,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1999-03","Mar-1999",87.5385410243163,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1999-Q2","Q2-1999",87.5085415243079,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1999-04","Apr-1999",87.3485441909301,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1999-05","May-1999",87.788536857719,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1999-06","Jun-1999",87.3885435242746,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1999-Q3","Q3-1999",89.555174080432,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1999-07","Jul-1999",90.3784936917718,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1999-08","Aug-1999",88.5585240245996,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1999-09","Sep-1999",89.7285045249246,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1999-Q4","Q4-1999",92.1317978033699,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1999-10","Oct-1999",91.0784820252996,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1999-11","Nov-1999",91.6384726921218,,
"BEL-IMP-VAL-TOTAL","IMP-Total","1999-12","Dec-1999",93.6784386926885,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2000","2000",100,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2000-Q1","Q1-2000",95.8017366377227,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2000-01","Jan-2000",94.6584223596273,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2000-02","Feb-2000",96.0183996933384,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2000-03","Mar-2000",96.7283878602023,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2000-Q2","Q2-2000",98.4583590273495,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2000-04","Apr-2000",97.7283711938134,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2000-05","May-2000",98.318361360644,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2000-06","Jun-2000",99.3283445275912,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2000-Q3","Q3-2000",101.318311361477,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2000-07","Jul-2000",99.6583390276829,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2000-08","Aug-2000",101.038316028066,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2000-09","Sep-2000",103.258279028683,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2000-Q4","Q4-2000",104.42159297345,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2000-10","Oct-2000",103.218279695338,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2000-11","Nov-2000",105.8382360294,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2000-12","Dec-2000",104.208263195613,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2001","2001",102.160797320045,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2001-Q1","Q1-2001",102.698288361861,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2001-01","Jan-2001",102.298295028416,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2001-02","Feb-2001",103.608273195447,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2001-03","Mar-2001",102.188296861719,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2001-Q2","Q2-2001",103.811603139948,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2001-04","Apr-2001",102.408293195113,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2001-05","May-2001",103.85826902885,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2001-06","Jun-2001",105.16824719588,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2001-Q3","Q3-2001",102.411626472892,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2001-07","Jul-2001",103.85826902885,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2001-08","Aug-2001",102.438292695122,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2001-09","Sep-2001",100.938317694705,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2001-Q4","Q4-2001",99.7216713054782,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2001-10","Oct-2001",99.7083381943634,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2001-11","Nov-2001",99.488341860969,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2001-12","Dec-2001",99.9683338611023,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2002","2002",100.108331527808,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2002-Q1","Q1-2002",100.628322861286,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2002-01","Jan-2002",99.6883385276912,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2002-02","Feb-2002",99.7783370277162,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2002-03","Mar-2002",102.41829302845,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2002-Q2","Q2-2002",99.9983333611107,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2002-04","Apr-2002",100.528324527925,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2002-05","May-2002",100.268328861186,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2002-06","Jun-2002",99.1983466942218,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2002-Q3","Q3-2002",99.5983400276662,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2002-07","Jul-2002",98.9183513608107,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2002-08","Aug-2002",99.0583490275162,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2002-09","Sep-2002",100.818319694672,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2002-Q4","Q4-2002",100.208329861169,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2002-10","Oct-2002",100.958317361377,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2002-11","Nov-2002",100.048332527791,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2002-12","Dec-2002",99.6183396943384,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2003","2003",97.8850352494125,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2003-Q1","Q1-2003",100.82165297245,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2003-01","Jan-2003",100.028332861119,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2003-02","Feb-2003",100.968317194713,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2003-03","Mar-2003",101.468308861519,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2003-Q2","Q2-2003",97.3883768603857,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2003-04","Apr-2003",98.1483641939301,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2003-05","May-2003",97.0083831936134,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2003-06","Jun-2003",97.0083831936134,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2003-Q3","Q3-2003",96.5117248045866,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2003-07","Jul-2003",95.9184013599773,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2003-08","Aug-2003",96.3783936934384,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2003-09","Sep-2003",97.238379360344,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2003-Q4","Q4-2003",96.8183863602273,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2003-10","Oct-2003",96.608389860169,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2003-11","Nov-2003",97.1683805269912,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2003-12","Dec-2003",96.6783886935218,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2004","2004",101.059982333628,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2004-Q1","Q1-2004",98.1616973050449,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2004-01","Jan-2004",96.8083865268912,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2004-02","Feb-2004",97.9783670272162,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2004-03","Mar-2004",99.6983383610273,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2004-Q2","Q2-2004",100.48832519458,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2004-04","Apr-2004",100.398326694555,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2004-05","May-2004",100.538324361261,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2004-06","Jun-2004",100.528324527925,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2004-Q3","Q3-2004",102.36496058399,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2004-07","Jul-2004",101.988300194997,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2004-08","Aug-2004",102.318294695088,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2004-09","Sep-2004",102.788286861886,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2004-Q4","Q4-2004",103.224946250896,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2004-10","Oct-2004",104.98825019583,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2004-11","Nov-2004",102.788286861886,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2004-12","Dec-2004",101.898301694972,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2005","2005",108.759020682989,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2005-Q1","Q1-2005",106.841552640789,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2005-01","Jan-2005",104.678255362411,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2005-02","Feb-2005",106.008233196113,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2005-03","Mar-2005",109.838169363844,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2005-Q2","Q2-2005",107.514874752087,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2005-04","Apr-2005",107.358210696488,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2005-05","May-2005",106.518224696255,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2005-06","Jun-2005",108.668188863519,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2005-Q3","Q3-2005",109.92483458609,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2005-07","Jul-2005",109.718171363811,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2005-08","Aug-2005",108.798186696888,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2005-09","Sep-2005",111.258145697572,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2005-Q4","Q4-2005",110.754820752987,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2005-10","Oct-2005",110.318161363977,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2005-11","Nov-2005",110.018166363894,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2005-12","Dec-2005",111.928134531091,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2006","2006",114.048932517791,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2006-Q1","Q1-2006",116.371393810103,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2006-01","Jan-2006",115.158080698655,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2006-02","Feb-2006",115.518074698755,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2006-03","Mar-2006",118.438026032899,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2006-Q2","Q2-2006",113.528107864869,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2006-04","Apr-2006",113.668105531574,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2006-05","May-2006",112.448125864569,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2006-06","Jun-2006",114.468092198463,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2006-Q3","Q3-2006",114.128097865036,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2006-07","Jul-2006",114.058099031683,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2006-08","Aug-2006",115.798070032166,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2006-09","Sep-2006",112.528124531258,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2006-Q4","Q4-2006",112.168130531158,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2006-10","Oct-2006",111.608139864336,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2006-11","Nov-2006",113.508108198197,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2006-12","Dec-2006",111.388143530941,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2007","2007",116.31556140731,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2007-Q1","Q1-2007",112.938117698038,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2007-01","Jan-2007",112.278128697855,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2007-02","Feb-2007",111.938134364427,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2007-03","Mar-2007",114.598090031833,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2007-Q2","Q2-2007",115.444742587624,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2007-04","Apr-2007",116.86805219913,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2007-05","May-2007",114.298095031749,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2007-06","Jun-2007",115.168080531991,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2007-Q3","Q3-2007",117.271378810353,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2007-07","Jul-2007",118.158030699488,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2007-08","Aug-2007",116.318061365644,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2007-09","Sep-2007",117.338044365927,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2007-Q4","Q4-2007",119.608006533224,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2007-10","Oct-2007",118.058032366127,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2007-11","Nov-2007",120.487991866802,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2007-12","Dec-2007",120.277995366744,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2008","2008",126.152064132264,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2008-Q1","Q1-2008",124.097931701138,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2008-01","Jan-2008",123.577940367661,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2008-02","Feb-2008",123.587940200997,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2008-03","Mar-2008",125.127914534758,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2008-Q2","Q2-2008",126.38122697955,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2008-04","Apr-2008",123.727937867702,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2008-05","May-2008",125.697905034916,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2008-06","Jun-2008",129.717838036033,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2008-Q3","Q3-2008",130.157830702822,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2008-07","Jul-2008",131.717804703255,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2008-08","Aug-2008",128.857852369127,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2008-09","Sep-2008",129.897835036083,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2008-Q4","Q4-2008",123.971267145548,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2008-10","Oct-2008",127.077882035299,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2008-11","Nov-2008",124.987916868052,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2008-12","Dec-2008",119.848002533291,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2009","2009",114.564757254046,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2009-Q1","Q1-2009",115.001416643056,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2009-01","Jan-2009",117.828036199397,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2009-02","Feb-2009",113.578107031549,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2009-03","Mar-2009",113.598106698222,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2009-Q2","Q2-2009",112.29146180897,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2009-04","Apr-2009",111.728137864369,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2009-05","May-2009",112.18813019783,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2009-06","Jun-2009",112.958117364711,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2009-Q3","Q3-2009",116.374727087882,,
"BEL-IMP-VAL-TOTAL","IMP-Total","2009-07","Jul-2009",115.938067698872,,
